filename,title,year
73350a1c2e1c31c4cc9a5a44c4b27a3f,(道光)琴川三志補記,1831
717c91b313be4f4d278126d415962822,(道光)重修澂江府志16卷,1847
a34d31f68e977430c13213fcb38419a9,(光緒)松江府續志,1883
0cf41226df461eadfaee68a37c7be629,吉安府志 53卷,1891.5
4dbd7ee886c383fa44e1c645c973a83c,(民國)洛甯縣志,1917
c6f01fc37cc77dc2c6d2206b0520a400,光化縣志 8卷,1891.5
b3b68138bbc7a0e23ad895ed082dd464,恒春縣志 22卷,1891.5
c2455444deb54c3896ee3a702c875f76,(光緒)江西通志,1881
906cb1894a21e69c76020452ceeb0975,(宣統)建德縣志20卷,1910
6822c4c0065597a21099ce225951ba79,呼蘭府志 12卷,1909.5
9c5e42cc97a2e05d618812b8cd0fa6c5,(民國)昔陽縣志6卷,1914
e051e1fba423161807abaafad3ab3985,(光緒)宜陽縣志,1881
37a1491c784db0b64f1f451468e07605,(民國)江安縣志,1923
efcb77a4336b1a47f2835f56fad964e3,(民國)昭通縣志稿,1924
1377223649dce1eb07fdb67219aece07,鬱林州志 20卷,1891.5
d442101388396bf886ba846e453b352a,(光緒)亳州志,1894
c2bd0ad3ca8d4607088eabbc643e2a06,(光緒)曹縣志,1884
8249f01257af62cf69c0d2a03e7e1063,高唐州志 8卷,1891.5
b9d7f4cb013eaf9f955195cdcf31ed7c,(民國)良鄉縣志,1924
c956f1a0f4e0624f374e3e819e07dea2,澄邁縣志 12卷,1891.5
ab2f4187d7c3fe7001475887c9043143,直隸趙州志 16卷,1891.5
ea0030e82c914eb7f7ca6c9a81bd0e64,(光緒)蒲江縣志5卷,1878
08e2ee1e38901d7cb3bb7e09707ebe22,增修登州府志 69卷,1891.5
ff58c13b4b9336ebb2ed1075df078bc0,(光緒)漢陽縣識10卷,1884
b8226150d6f02cbf9d5b7de8b8a24f66,(光緒)丹徒縣志,1879
4be699ce5858fa7dfe493326c42715f9,續修安岳縣志 4卷,1891.5
